Country.Name,SDG.Region,UNICEF.Region,UNICEF.Programme.Region,Rate,Year,Deaths
0,200,207,207,76.421,1990,43265
1,201,208,208,53.7638,1990,32549
2,202,209,209,10.2089,1990,2
3,203,210,210,12.5107,1990,1015
4,203,211,211,6.2495,1990,4
5,204,212,212,7.8341,1990,379
6,202,209,209,14.9401,1990,10715
7,204,210,210,22.7305,1990,1955
8,202,209,209,8.0926,1990,11
9,205,213,211,4.6377,1990,1209
10,203,211,211,4.5983,1990,413
11,204,210,210,31.1991,1990,6594
12,201,208,208,39.9244,1990,10220
13,203,211,211,4.5773,1990,565
14,201,214,213,45.0017,1990,10469
15,201,214,213,45.4705,1990,19465
16,200,207,207,66.0736,1990,247650
17,203,210,210,8.0236,1990,860
18,204,212,212,15.1671,1990,214
19,202,209,211,13.1903,1990,86
20,203,210,210,11.2525,1990,756
21,203,210,210,9.857,1990,1463
22,202,209,209,18.4885,1990,124
23,202,209,209,40.9537,1990,10425
24,202,209,209,27.0464,1990,101262
25,202,209,209,11.6794,1990,47
26,206,213,211,5.6428,1990,42
27,200,207,207,42.6576,1990,881
28,201,208,208,19.934,1990,917
29,201,214,213,51.6826,1990,6711
30,203,215,211,4.3569,1990,1857
31,203,211,211,3.8937,1990,320
32,202,209,209,8.5735,1990,2538
33,206,213,214,29.7769,1990,838628
34,201,214,213,48.6403,1990,26982
35,201,214,213,40.6917,1990,20516
36,201,214,213,41.672,1990,68745
37,201,214,213,27.7966,1990,2574
38,205,213,214,12.7978,1990,7
39,202,209,209,18.1891,1990,16231
40,201,208,208,50.5767,1990,916
41,201,214,213,19.3595,1990,272
42,202,209,209,8.8452,1990,746
43,202,209,209,6.8034,1990,1265
44,204,211,211,6.0151,1990,91
45,203,211,211,7.2419,1990,939
46,203,211,211,3.4159,1990,3053
47,201,208,212,48.8553,1990,1043
48,202,209,209,10.601,1990,18
49,203,211,211,4.3306,1990,274
50,202,209,209,24.314,1990,5362
51,204,212,212,24.1465,1990,18967
52,202,209,209,22.3427,1990,7000
53,204,212,212,33.5042,1990,63648
54,201,208,208,34.9345,1990,3211
55,203,211,211,4.8789,1990,1957
56,203,211,211,9.807,1990,219
57,201,208,208,60.0968,1990,143351
58,203,211,211,3.8481,1990,251
59,205,213,214,13.0952,1990,300
60,203,211,211,3.6163,1990,2721
61,205,213,214,24.2046,1990,82
62,201,214,213,31.4358,1990,1162
63,203,211,211,4.4802,1990,3557
64,204,210,210,24.7633,1990,2489
65,201,214,213,42.0161,1990,26225
66,201,214,213,62.4451,1990,18200
67,201,214,213,49.3958,1990,2335
68,201,214,213,63.4928,1990,2758
69,201,214,213,49.7685,1990,1061
70,203,211,211,6.5204,1990,717
71,202,209,209,12.2403,1990,34
72,202,209,209,28.5019,1990,10154
73,202,209,209,30.9442,1990,683
74,202,209,209,21.879,1990,4209
75,203,210,210,8.1031,1990,460
76,202,209,209,39.3227,1990,10432
77,203,211,211,11.219,1990,1405
78,206,213,214,30.87,1990,143462
79,200,207,207,57.2003,1990,1582956
80,203,211,211,4.6918,1990,245
81,200,212,212,25.1215,1990,44941
82,204,212,212,26.1383,1990,18482
83,203,211,211,3.3488,1990,16
84,204,212,211,6.2193,1990,692
85,203,211,211,6.4167,1990,3643
86,202,209,209,18.4241,1990,1123
87,204,212,212,19.9102,1990,2532
88,206,213,211,2.5422,1990,3118
89,200,210,210,22.6377,1990,9015
90,201,208,208,27.3015,1990,27513
91,200,210,210,24.1579,1990,3316
